age,d13o
0.014489,-22.9581
0.0201451,-22.2827
0.0334288,-22.5139
0.042167,-20.9317
0.0507416,-19.7161
0.0558123,-20.3526
0.0606075,-21.6065
0.0682609,-22.4552
0.0913761,-18.654
0.0921596,-16.8984
0.109808,-19.3481
0.112219,-19.9461
0.126036,-18.9812
0.127534,-21.6242
0.130642,-20.6595
0.15256,-19.54
0.155677,-18.556
0.165302,-20.9866
0.187461,-19.3269
0.187978,-18.1694
0.193832,-23.0503
0.194633,-21.256
0.201709,-23.3973
0.220554,-23.1654
0.221915,-20.1171
0.229405,-21.3324
0.238143,-19.7502
0.245064,-22.2387
0.252744,-23.0295
0.26564,-18.1289
0.280413,-21.0225
0.290244,-22.9901
0.308909,-23.1632
0.320703,-20.7321
0.326437,-19.8831
0.337276,-19.5934
0.344335,-21.7733
0.358798,-19.3614
0.373218,-23.0459
0.38868,-24.396
0.4247,-21.6749
0.432138,-23.0059
0.439818,-23.7967
0.442314,-24.2018
0.459059,-22.6773
0.472627,-22.2718
0.490611,-23.9691
0.501243,-18.1425
0.516446,-20.0714
0.522912,-23.5825
0.536161,-23.8909
0.552372,-23.5625
0.564338,-20.7455
0.566611,-21.6522
0.580274,-21.0345
0.583571,-19.6454
0.591793,-19.2207
0.598835,-21.4392
0.600729,-23.1948
0.609123,-22.3843
0.61644,-23.9854
0.627727,-22.6925
0.638195,-23.2325
0.642956,-24.5635
0.653571,-24.7755
0.670729,-22.3249
0.675343,-23.984
0.680973,-23.3665
0.69263,-21.244
0.71281,-24.0217
0.747866,-23.4613
0.752678,-24.6767
0.766246,-24.2712
0.766711,-23.2294
0.78565,-22.7852
0.793054,-24.1934
0.803807,-24.0966
0.812011,-23.7106
0.815446,-22.0128
0.83436,-21.6265
0.836461,-22.919
0.838794,-23.6907
0.86642,-21.78
0.868684,-22.706
0.873721,-23.4197
0.881624,-23.7089
0.895398,-22.8404
0.90015,-24.1908
0.907924,-24.7694
0.932606,-23.4569
0.932736,-23.1675
0.934974,-24.1514
0.940923,-22.82
0.953259,-19.1734
0.962282,-22.9546
0.973232,-22.4141
0.976685,-20.6777
0.988866,-23.3784
0.998087,-20.7158
0.9998,-22.8765
1.02308,-18.7087
1.02425,-22.0849
1.03289,-20.7149
1.05063,-22.9717
1.05647,-21.8719
1.06692,-22.4697
1.07738,-23.0097
1.09172,-20.8871
1.09477,-20.0575
1.11482,-23.1245
1.11528,-22.0827
1.13392,-22.3138
1.1386,-23.8185
1.15273,-22.159
1.16191,-19.5928
1.17564,-24.8208
1.18199,-22.5827
1.1977,-23.3926
1.21147,-22.5241
1.22617,-19.572
1.22794,-21.617
1.24358,-22.5619
1.24453,-20.4397
1.25731,-21.7899
1.263,-21.0373
1.2733,-21.9631
1.27565,-22.6962
1.29193,-22.2135
1.30099,-19.9175
1.30517,-22.5411
1.30565,-21.4607
1.31085,-21.8079
1.32086,-23.3703
1.32665,-22.4056
1.3338,-24.3925
1.34254,-22.791
1.35019,-23.659
1.36399,-22.7327
1.37692,-23.7548
1.38531,-22.9444
1.40888,-24.1206
1.41484,-22.77
1.43086,-22.8661
1.43851,-23.7341
1.46042,-22.6339
1.4786,-23.8874
1.48434,-23.0191
1.51386,-22.8641
1.52979,-23.1724
1.53992,-24.4647
1.55137,-22.8053
1.56696,-23.866
1.57827,-22.5346
1.58321,-23.4605
1.60478,-23.1127
1.60695,-24.2509
1.62378,-22.5335
1.62847,-24.0189
1.63696,-22.9962
1.66599,-23.9408
1.66901,-23.169
1.69791,-24.4031
1.72539,-22.8397
1.73845,-23.5725
1.75163,-24.0159
1.75219,-22.7812
1.76806,-23.2052
1.7813,-23.5329
1.78909,-24.0729
1.80527,-23.8217
1.82381,-24.265
1.83747,-23.6666
1.85864,-24.2063
1.87233,-23.5307
1.88513,-24.8616
1.90709,-23.6456
1.92567,-23.9924
1.95533,-23.5287
1.97107,-24.2614
1.98026,-21.676
1.99053,-22.6404
2.00703,-21.6753
2.01195,-22.6591
2.02231,-23.4306
2.03881,-22.4463
2.04444,-21.8288
2.05472,-22.7932
2.0846,-21.8471
2.08911,-23.7377
2.11019,-24.4896
2.13449,-24.026
2.14047,-22.6368
2.15106,-22.9066
2.17181,-24.3916
2.18016,-23.6969
2.22286,-24.0045
2.23679,-22.7888
2.25035,-22.3833
2.25221,-24.2161
2.2797,-22.6141
2.28171,-24.1189
2.29009,-23.347
2.30352,-23.2309
2.3041,-21.9383
2.31442,-22.8062
2.32196,-23.9057
2.33596,-22.5356
2.35112,-24.5609
2.3646,-24.3484
2.38929,-23.0359
2.40764,-23.9036
2.42394,-23.3823
2.43429,-24.1924
2.44502,-24.1342
2.45087,-23.0344
2.45342,-23.3045
2.47508,-22.783
2.47737,-23.6318
2.48789,-24.056
2.49919,-22.7439
2.50708,-23.0716
2.50938,-23.9012
2.52359,-22.068
2.54152,-23.8811
2.55238,-23.5336
2.57621,-24.1311
2.57728,-21.7388
2.5954,-23.1467
